랭킹,채널명,카테고리,구독자수(단위:만),조회수(단위:만)
439,가르마[GARMA],먹방,70,19494
440,에바EVA,뷰티,70,9088
441,지호토이TV JIHOTOY,키즈,70,54870
442,DanoTV,헬스,70,11647
443,난쟁이성현,기획,70,15948
444,강유미 yumi kang좋아서 하는 채널,기획,70,13074
445,Yoo's Beauty 희주,뷰티,69,2355
446,하얀트리HayanTree,푸드,69,19764
447,SISSEL,뷰티,69,2907
448,Travel Tube,리뷰,68,61927
449,권회훈,먹방,68,25744
450,LENA,뷰티,68,13260
451,MBC WORLD,엔터테인먼트,68,5199
452,옛능 : MBC 옛날 예능 다시보기,엔터테인먼트,68,61084
453,간니닌니 다이어리,키즈,67,53776
454,강 지,게임,67,36362
455,채널A 뉴스TOP10,시사,67,52038
456,로즈하ROSEHA,뷰티,67,6354
457,TongTongTv 통통컬처,엔터테인먼트,67,47231
458,타임스낵,미분류,67,13811
459,법륜스님의 희망세상만들기,종교,66,32315
460,레바스튜디오,애니,66,23490
461,Ha Neul오늘의 하늘,일상,66,9528
462,미스&미스터트롯 공식계정,프로그램,66,27642
463,서담SEODAM,푸드,66,1335
464,박대세 PDS,일상,66,0
465,애니한TV AnnieHan,기획,66,58201
466,미니미니 MiniMini,키즈,66,28147
467,뿌직PPUJIG,키즈,65,42166
468,모비딕 Mobidic,엔터테인먼트,65,19889
469,Dorami,게임,65,15079
470,펜앤드마이크TV,정치,65,43667
471,제이제이,기획,65,17172
472,MBN News,시사,65,67513
473,JK 아트사커 온라인,스포츠,65,2176
474,SomiFit 소미핏,헬스,65,7260
475,깨박이,일상,65,32228
476,이슈왕 TV,시사,64,22431
477,SIMI TV,펫,64,7143
478,여정을떠난여정,기획,64,12735
479,smile -wA-,모음,64,47935
480,탁주 TV,게임,64,108843
481,씨그널V [ Signal V ],엔터테인먼트,64,28437
482,hoyasama,모음,64,2150
483,입시덕후,지식,64,19599
484,UTZI웃지,리뷰,64,34976
485,닥터프렌즈,지식,63,9577
486,GCL 지씨엘,리뷰,63,17888
487,긱블 Geekble,취미,63,13854
488,랭킹스쿨 Ranking School,지식,63,25182
489,코아 TV,게임,63,33603
490,로이조 TV,게임,63,43768
491,새벽,뷰티,62,7736
492,조선일보,시사,62,31819
493,삼식,게임,62,21740
494,가로세로연구소,시사,62,32117
495,시바견 곰이탱이여우,펫,62,25051
496,Soy ASMR,ASMR,62,12217
497,TV대정령,게임,62,62725
498,KBS N,엔터테인먼트,62,86416
499,이봉규TV,정치,62,31289
500,Charming Jo 조매력,기획,62,14339
501,영기티비,기획,61,8966
502,퀸톨 TV,게임,61,42240
503,우와한 비디오,프로그램,61,73055
504,김습습Double Soup,뷰티,61,4492
505,전옥현 안보정론TV,정치,61,19865
506,예씨 yessii,기획,61,31621
507,스브스뉴스 SUBUSU NEWS,시사,61,53699
508,엣지님,일상,61,19464
509,수탉,게임,60,25409
510,[HoneyBee Tube] 꿀벌튜브,키즈,60,37814
511,newstapa,시사,60,2788
512,Mdromeda,프로그램,60,16814
513,공병호TV,정치,60,31559
514,형독방송,게임,60,48127
515,우미스베이킹Umi's baking,푸드,60,4711
516,KB국민카드,기업,60,19843
517,서넹,게임,59,2857
518,엠빅뉴스,시사,59,108252
519,샒의 삶Serim's life,일상,59,16078
520,더스쿱The SCOOP,먹방,59,8344
