,광역시도,시도,20~39세남자,20~39세여자,20~39세합계,65세이상남자,65세이상여자,65세이상합계,인구수남자,인구수여자,인구수합계,소멸비율,소멸위기지역
71,경남, 창녕군,5153,4282,9435,6847,9948,16795,27648,28533,56181,0.5099136647811848,True
72,경남, 통영시,12662,11797,24459,9645,12705,22350,60826,61336,122162,1.0556599552572707,False
73,경남, 하동군,3066,2433,5499,5543,8268,13811,19901,20843,40744,0.3523278546086453,True
74,경남, 함안군,5780,5216,10996,5722,8233,13955,29988,30091,60079,0.747545682551057,True
75,경남, 함양군,2570,2274,4844,4631,7174,11805,16980,18516,35496,0.3852604828462516,True
76,경남, 합천군,2773,2298,5071,6030,9517,15547,19085,21000,40085,0.29561973371068373,True
77,경남,마산합포구,20919,18743,39662,14282,18667,32949,83102,85270,168372,1.137697653950044,False
78,경남,마산회원구,21894,20180,42074,13335,16274,29609,91161,92356,183517,1.3630990577189368,False
79,경남,성산구,29515,27247,56762,7385,8488,15873,104555,103378,207933,3.4331254331254333,False
80,경남,의창구,34426,30864,65290,12861,15300,28161,122271,120450,242721,2.1919676147864067,False
81,경남,진해구,23887,21823,45710,10826,13548,24374,92993,90590,183583,1.7906785919422334,False
82,경북, 경산시,37166,32956,70122,17051,22777,39828,127793,128146,255939,1.6549161393994174,False
83,경북, 경주시,27491,23620,51111,21311,29435,50746,119114,120268,239382,0.9309108107042919,True
84,경북, 고령군,2427,2074,4501,3763,5056,8819,14552,14467,29019,0.4703481120308425,True
85,경북, 구미시,61478,54585,116063,15195,20128,35323,201545,194793,396338,3.090620841944342,False
86,경북, 군위군,1480,1141,2621,3623,4737,8360,10491,10370,20861,0.27296650717703347,True
87,경북, 김천시,14640,13073,27713,12087,17018,29105,63978,65687,129665,0.8983336196529806,True
88,경북, 문경시,5401,4766,10167,7931,11335,19266,31547,33285,64832,0.49475760406934494,True
89,경북, 봉화군,1884,1684,3568,4427,5881,10308,14309,14548,28857,0.32673651532790066,True
90,경북, 상주시,8153,6635,14788,11216,16496,27712,44325,46502,90827,0.4788539260969977,True
91,경북, 성주군,3358,2663,6021,5175,6715,11890,19264,18742,38006,0.4479394449116905,True
92,경북, 안동시,15974,14428,30402,14881,20009,34890,73525,75365,148890,0.8270564631699627,True
93,경북, 영덕군,2403,2086,4489,4869,7633,12502,15906,17809,33715,0.3337066069428891,True
94,경북, 영양군,986,879,1865,2374,3300,5674,7531,7741,15272,0.3098343320408883,True
95,경북, 영주시,9245,7880,17125,10830,14487,25317,47843,49466,97309,0.6225066161077537,True
96,경북, 영천시,9422,7971,17393,10802,14750,25552,46027,46704,92731,0.6239041953663118,True
97,경북, 예천군,4323,4179,8502,6416,8920,15336,24733,26009,50742,0.5449921752738655,True
98,경북, 울릉군,874,632,1506,904,1068,1972,4436,3764,8200,0.640973630831643,True
99,경북, 울진군,4191,3309,7500,4936,7469,12405,22032,22240,44272,0.5334945586457074,True
100,경북, 의성군,3205,2597,5802,8030,11286,19316,22823,24310,47133,0.26889625181196936,True
101,경북, 청도군,2762,2271,5033,5971,8290,14261,18446,19772,38218,0.3184909894116822,True
102,경북, 청송군,1796,1324,3120,3632,4776,8408,11451,11580,23031,0.3149381541389153,True
103,경북, 칠곡군,14151,12373,26524,6654,9227,15881,55417,52837,108254,1.558214218248221,False
104,경북,남구,26458,22812,49270,16478,19248,35726,112611,108532,221143,1.2770531265744836,False
105,경북,북구,29358,27263,56621,18378,22728,41106,125439,129425,254864,1.3264730209701747,False
106,광주, 광산구,53657,54745,108402,14191,19774,33965,195701,196933,392634,3.2236125423229796,False
107,광주, 남구,25452,26643,52095,15104,19268,34372,100399,108734,209133,1.5502734784126615,False
108,광주, 동구,13869,13001,26870,8991,11003,19994,47381,48357,95738,1.3004901470441133,False
109,광주, 북구,58085,56938,115023,26052,32881,58933,208100,214164,422264,1.9322959971493052,False
110,광주, 서구,38131,39602,77733,16885,21481,38366,141373,148608,289981,2.064432049210238,False
111,대구, 남구,18344,18059,36403,13191,18028,31219,67453,73563,141016,1.1569236682789328,False
112,대구, 달서구,72376,69705,142081,31767,40973,72740,269246,280734,549980,1.9165521033819082,False
113,대구, 달성군,35250,33012,68262,12261,15645,27906,122037,120963,243000,2.36594280799828,False
114,대구, 동구,42216,39988,82204,25970,34547,60517,160082,167925,328007,1.3215460118644349,False
115,대구, 북구,58645,54402,113047,24436,32556,56992,210525,214808,425333,1.9091100505334082,False
116,대구, 서구,21378,18019,39397,14890,19927,34817,83008,84438,167446,1.0350690754516472,False
117,대구, 수성구,44007,44780,88787,26184,34620,60804,195256,209978,405234,1.4729294125386487,False
118,대구, 중구,10513,10915,21428,5913,8323,14236,34690,37793,72483,1.5334363585276762,False
119,대전, 대덕구,23109,20568,43677,10882,13665,24547,85844,84978,170822,1.6758055974253472,False
120,대전, 동구,31476,28471,59947,16694,21090,37784,111143,110812,221955,1.5070400169383866,False
121,대전, 서구,67012,67755,134767,24315,29896,54211,226805,236942,463747,2.499677187286713,False
122,대전, 유성구,54201,49545,103746,13142,15942,29084,170005,166349,336354,3.4070279191307935,False
123,대전, 중구,27338,27469,54807,18122,23046,41168,110975,116206,227181,1.3344830936649825,False
124,부산, 강서구,17864,17626,35490,6272,7135,13407,61117,59334,120451,2.629372715745506,False
125,부산, 금정구,31057,28544,59601,19179,24059,43238,111149,116961,228110,1.3203200888107682,False
126,부산, 기장군,18592,18881,37473,9865,13102,22967,75833,78699,154532,1.644185135193974,False
127,부산, 남구,33356,32292,65648,21543,27223,48766,127898,135086,262984,1.324365336504942,False
128,부산, 동구,9723,9163,18886,8542,11807,20349,39342,41747,81089,0.9005847953216374,True
129,부산, 동래구,30658,30706,61364,19835,24048,43883,123015,131537,254552,1.399448533600711,False
130,부산, 부산진구,46027,47780,93807,27308,35237,62545,162539,176684,339223,1.5278599408425932,False
131,부산, 북구,35543,33946,69489,19248,23675,42923,135427,141076,276503,1.5817160962654055,False
132,부산, 사상구,28566,26362,54928,15348,18623,33971,104170,104881,209051,1.5520296723676077,False
133,부산, 사하구,40135,37266,77401,23347,28573,51920,150249,154497,304746,1.4355161787365178,False
134,부산, 서구,11740,11902,23642,10079,13539,23618,48104,51997,100101,1.0078753493098485,False
135,부산, 수영구,21608,22650,44258,14781,18599,33380,77880,86904,164784,1.3571000599161174,False
136,부산, 연제구,24952,25805,50757,15782,19525,35307,94732,103253,197985,1.4617497946582831,False
137,부산, 영도구,12337,10617,22954,11825,15811,27636,53656,55802,109458,0.7683456361267912,True
138,부산, 중구,4831,4458,9289,4061,5506,9567,18759,19807,38566,0.9319535904672311,True
139,부산, 해운대구,43106,45139,88245,27104,34882,61986,181834,198152,379986,1.4564256445003712,False
140,서울, 강남구,63996,76930,140926,29965,35748,65713,234001,259491,493492,2.3413936359624428,False
141,서울, 강동구,55997,58315,114312,27239,31894,59133,196902,206541,403443,1.9723335531767372,False
142,서울, 강북구,38730,39639,78369,24425,32091,56516,141759,152384,294143,1.4027532026328828,False
143,서울, 강서구,84638,92400,177038,35319,43861,79180,268057,291302,559359,2.3339227077544833,False
144,서울, 관악구,94628,91377,186005,31721,38942,70663,234870,237926,472796,2.586275702984589,False
145,서울, 광진구,53872,59479,113351,20123,24489,44612,159187,172560,331747,2.666502286380346,False
146,서울, 구로구,55180,57708,112888,28397,33318,61715,188979,197260,386239,1.8701450214696589,False
147,서울, 금천구,35150,32331,67481,15868,18823,34691,110152,109744,219896,1.8639416563373785,False
148,서울, 노원구,64427,66657,131084,32338,43798,76136,241951,263016,504967,1.7509982137228117,False
149,서울, 도봉구,40253,41366,81619,25064,30410,55474,152106,162926,315032,1.4913653242960667,False
150,서울, 동대문구,51942,51838,103780,24324,30453,54777,160582,167315,327897,1.8926921883272176,False
151,서울, 동작구,60304,63236,123540,25648,32607,58255,180291,194187,374478,2.1710067805338595,False
152,서울, 마포구,54071,64500,118571,20279,27647,47926,163126,185629,348755,2.6916496265075325,False
153,서울, 서대문구,42863,47970,90833,20369,27379,47748,137971,153987,291958,2.009298818798693,False
154,서울, 서초구,49316,58717,108033,24068,28372,52440,185921,205599,391520,2.239397406559878,False
155,서울, 성동구,44558,47313,91871,17886,22871,40757,137125,146205,283330,2.3217116078219693,False
156,서울, 성북구,59148,64579,123727,28490,36899,65389,200642,217761,418403,1.975225190781324,False
157,서울, 송파구,89124,101198,190322,38178,43784,81962,301491,327784,629275,2.469388253092897,False
158,서울, 양천구,52694,56142,108836,26110,31610,57720,208741,221078,429819,1.9453222453222454,False
159,서울, 영등포구,55031,58287,113318,23732,28723,52455,167114,174395,341509,2.222362024592508,False
160,서울, 용산구,30377,33888,64265,14128,18795,32923,97390,106806,204196,2.0586216322935336,False
161,서울, 은평구,59492,65072,124564,32511,42199,74710,213158,234535,447693,1.741989024227011,False
162,서울, 종로구,19801,20957,40758,10452,13248,23700,65594,71055,136649,1.7685232067510548,False
163,서울, 중구,17998,19327,37325,8614,11151,19765,55820,59845,115665,1.955679230963825,False
164,서울, 중랑구,53892,54584,108476,27655,33639,61294,183357,191283,374640,1.781055241948641,False
165,세종, 세종시,45339,47728,93067,12797,16430,29227,159457,162038,321495,3.2660211448318335,False
166,울산, 남구,43837,38741,82578,16055,18364,34419,155232,152062,307294,2.251140358522909,False
167,울산, 동구,21279,18492,39771,8341,8756,17097,77870,73337,151207,2.1631865239515706,False
168,울산, 북구,29875,28030,57905,6827,8392,15219,104664,100605,205269,3.683553452920691,False
169,울산, 울주군,25766,22638,48404,12364,15474,27838,105698,101669,207367,1.626409943243049,False
170,울산, 중구,27580,24879,52459,13355,15979,29334,106869,105581,212450,1.6962569032521988,False
171,인천, 강화군,4814,4265,9079,8937,10465,19402,30141,30481,60622,0.4396453973817132,True
172,인천, 계양구,39749,39652,79401,14413,18221,32634,141983,146439,288422,2.4301035729607157,False
